Code,Description
"20435","Frontier Airlines Inc. (1): FL (1)"
"20436","Frontier Airlines Inc.: F9"
"20437","AirTran Airways Corporation: FL"
"20438","Air Club International: HB (1)"
"20439","Homer Air: HB"
"20440","Lineas Aereas Del Caribe: LC (1)"
"20441","Legend Airlines: LC (2)"
"20442","Varig Logistica S/A: LC"
"20443","Island Air Service: 2O"
"20444","Excel Airways: JN"
"20445","Commutair Aka Champlain Enterprises, Inc.: C5"
"20446","Aerotransportes Mas De Crga: M7"
"20447","USA Jet Airlines Inc.: U7"
"20448","Shuttle America Corp.: S5"
"20449","Aero-Services-Corporate: WEQ"
"20450","Omega Air Holdings d/b/a Focus Air: F2"
"20451","Transmile Air Service: TH"
"20452","Republic Airlines: YX"
"20453","ABX Air, Inc.: ABX"
"20454","EOS Airlines, Inc.: E0"
"20455","Grant Aviation: GV"
"20456","Air Foyle Limited: GS"
"20500","GoJet Airlines, LLC d/b/a United Express: G7"
"20501","Morningstar Air Express: MOQ"
"20502","MAXjet: MY"
"21007","Abaco Air, Ltd.: BZQ"
"21008","Challenge Air Luftverkehrs GmbH: CAQ"
"21022","PM Air, LLC: Z3"
"21029","Harris Air Services: HBQ"
"21035","Tyrolean Jet Service: TIQ"
"21036","Executive Airlines, SL: EAQ"
"21040","Titan Airways: 02Q"
"21059","TUI Airlines Nederland B.V.: OR"
"21061","Aerounion Aerotransporte de Carga Union SA de CV: 6R"
"21069","Cargo 360, Inc.: GG"
"21070","Globespan Airways Limited d/b/a Flyglobespan: Y2"
"21074","Arrow Panama: WAP"
"21080","Tradewind Aviation: 04Q"
"21084","LAN Argentina: 4M"
"21089","US Helicopter Corporation: UH"
"21094","Comlux Aviation, AG: 05Q"
"21099","NetJets Transportes Aereos, S.A.: NJE"
"21107","Etihad Airways: EY"
"21111","Pacific Airways, Inc.: 3F"
"21116","Flyjet Limited d/b/a Silverjet: Y7"
"21117","TravelspanGT, Inc. S.A.: 9T"
"21118","Zeal 320: 37"
"21121","Elysair d/b/a L'Avion: A0"
"21126","ANA & JP Express Co. Ltd.: 9N"
"21131","VistaJet Luftfahrtunternehmen GmbH: VSA"
"21132","Master Top Linhas Aereas Ltd.: 06Q"
"21134","JetClub AG: 0J"
"21136","Flair Airlines Ltd.: 07Q"
"21142","Avior Airlines, C.A.: 9V"
"21147","Flying Service N.V.: 0Q"
"21148","Master Top Linhas Aereas, Ltda.: Q4"
"21158","Global Jet Austria, GmbH: IGA"
"21160","Global Jet Luxembourg, Sa: SVW"
"21161","Swift Air, LLC: 09Q"
"21167","Compass Airlines: CP"
"21171","Virgin America: VX"
"21177","Skybus Airlines, Inc.: SX"
"21181","Skyservice Airlines, Inc.: 5G"
"21186","DCA: 0BQ"
"21192","Eurofly S.p.A: GJ"
"21196","ACM AIR CHARTER GmbH: 0CQ"
"21201","Jade Cargo International: JI"
"21202","CAT Aviation: CAZ"
"21205","Inter Island Airways, d/b/a Inter Island Air: 0GQ"
"21212","Polar Airlines de Mexico d/b/a Nova Air: 0HQ"
"21217","Lynx Aviation d/b/a Frontier Airlines: L3"
"21221","Vladivostok Air: XF"
"21226","Porter Airlines, Inc.: PD"
"21231","Sunwing Airlines Inc.: WG"
"21236","Vision Airlines: 0JQ"
"21242","Mokulele Flight Services, Inc.: MW"
"21247","Star Air A/S: S6"
"21248","Metropix UK, LLP.: 0LQ"
"21253","Multi-Aero, Inc. d/b/a Air Choice One: 0MQ"
"21258","Santa Barbara Airlines, C.A: S3"
"21261","Jet Airways (India) Limited: 9W"
"21262","Qatar Airways (Q.C.S.C): QR"
"21266","Yangtze River Express Airlines Company: Y8"
"21271","Hainan Airlines Company Limited: HU"
"21281","JetAlliance Flugbetriebs d/b/a JAF Airservice: JAG"
"21287","Open Skies: 0OQ"
"21294","Aeromexico Travel: TRA"
"21302","Pan American World Airways Dominicana: 7Q"
"21306","TAG Aviation S.A.: FP"
"21308","TAG Aviation (UK) Ltd.: 0QQ"
"21309","TAG Aviation Espana S.L.: 0RQ"
"21312","Air Greco, Inc., d/b/a Wings Air: WV"
"21317","Corporatejets, XXI: 0TQ"
"21323","Aerosur: 5L"
"21326","Great Wall Airlines Company Limited: IJ"
"21331","Comlux Malta, Ltd.: 0UQ"
"21342","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus: VB"
"21346","Ocean Sky (UK) Limited: 0VQ"
"21351","Concesionaria Vuela Compania De Aviacion SA de CV (Volaris): Y4"
"21352","Avjet Corporation: 0WQ"
"21356","Jetstar Airways Pty Limited: JQ"
"21361","Air Berlin PLC and CO: AB"
"21366","XL Airways France: SE"
"21373","Aeroservices Executive: BES"
"21376","Lan Colombia: L7"
"21382","Comlux Malta Ltd.: 0YQ"
"21386","Air Excursions LLC: X4"
"21395","Virgin Blue International Airlines t/a V Australia: VA"
"21402","Prescott Support Company, Inc.: PM"
"21406","Acropolis Aviation Ltd.: CRV"
"21407","Swiss Air Ambulance: 10Q"
"21411","Insel Air International B V: 7I"
"21416","Jin Air Co Ltd.: LJ"
"21421","Jet Aviation Business Jets AG: PP"
"21423","Unijet: 12Q"
"21427","AeroLogic GmbH: 3S"
"21433","Meridiana S.p.A: IG"
"21434","Corsair International: SS"
"21437","Chartright Air Inc.: 13Q"
"21438","Hapag-Lloyd Executive GmbH: EXC"
"21439","London Air Services Limited: 14Q"
"21440","Air Alsie A/S: 15Q"
"21447","Albinati Aeronautics SA: 17Q"
"21452","Skymark Airlines Inc.: BC"
"21463","Aerovias de Intergracian Regional: 4C"
"21467","Arik Air International: W3"
"21477","Charter Air Transport, Inc.: 1AQ"
"21487","AirBridgeCargo Airlines Limited: RU"
"21492","Dynamic Airways, LLC: 1BQ"
"21503","Island Airlines LLC: 1DQ"
"21507","Aerolineas Galapagos S A Aerogal: 2K"
"21512","Travel Service, a.s.: QS"
"21518","KaiserAir, Inc.: 1EQ"
"21522","Alsek Air: 1FQ"
"21528","Transportes Aeromar S.A de C.V: VW"
"21532","Air Finland Ltd.: OF"
"21548","International Jet Management GmbH: 1HQ"
"21549","Jet link AG: 1IQ"
"21552","TUI Airlines Belgium N.V. d/b/a Jetairfly: TB"
"21557","Sichuan Airlines Co Ltd.: 3U"
"21562","Exec Direct Aviation Services Limited: 1JQ"
"21567","Brussels Airlines N.V.: SN"
"21568","VistaJet Limited: VJT"
"21569","Amira Air GmbH: XPE"
"21570","Star Marianas Air Inc.: 1SQ"
"21573","Bertelsmann Aviation GmbH: 1LQ"
"21574","Air Company Yakutia: R3"
"21577","Rhoades Aviation dba Transair: 1TQ"
"21578","ABC Aerolineas SA de CV dba Interjet: 4O"
"21579","Norwegian Air Shuttle ASA: DY"
"21580","Cargolux Italia SpA: C8"
"21582","Reeve Air Alaska, LLC: RVQ"
"21587","Tame Linea Aerea del Ecuador Tme EP: EQ"
"21589","Twin Cities Air Service LLC: 1MQ"
"21590","Gainjet Aviation SA: 1UQ"
"21592","Jeju Air Co Ltd.: 7C"
"21594","Scott Air LLC dba Island Air Express: 1VQ"
"21596","Ultimate JetCharters LLC dba Ultimate Air Shuttle: 1WQ"
"21597","JSC The 224th Flight Unit State Airlines: 1NQ"
"21598","WOW Air ehf: WW"
"21599","Boutique Air: 4B"
"21601","Dassault Falcon Service: 1XQ"
"21605","VRG Linhas Aereas S A: G3"
"21607","Fly Jamaica Airways Limited: OJ"
"21608","Ukraine International Airlines: PS"
"21610","Air Canada rouge LP: RV"
"21611","Sky Regional Airlines Inc.: RS"
"21613","Makani Kai Air Charters: 1PQ"
"21614","City Wings Inc dba Seaflight: 1QQ"
"21615","Air Charter, Inc d/b/a Air Flamenco: 1YQ"
"21618","Sun Air Express LLC dba Sun Air International: 1RQ"
"21623","SkyBahamas Airlines Ltd.: Q7"
"21624","Jet2.com: LS"
"21626","Dreamjet SAS Dba La Compagnie: B0"
"21629","Western Global: KD"
"21630","Comlux Aruba NV: 1ZQ"
"21631","Orange Air: 20Q"
"21634","Aloha Air Cargo: KH"
